iso_code,date,continent,location,reproduction_rate,C1_combined_numeric,C1_combined,C2_combined_numeric,C2_combined,C3_combined_numeric,C3_combined,C4_combined_numeric,C4_combined,C5_combined_numeric,C5_combined,C6_combined_numeric,C6_combined,C7_combined_numeric,C7_combined,C8_combined_numeric,C8_combined,E1_combined_numeric,E1_combined,E2_combined_numeric,E2_combined,H1_combined_numeric,H1_combined,H2_combined_numeric,H2_combined,H3_combined_numeric,H3_combined,H6_combined_numeric,H6_combined,H7_combined_numeric,H7_combined,H8_combined_numeric,H8_combined
NLD,2020-02-27,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-02-28,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-02-29,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-01,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-02,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-03,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-04,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-05,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-06,Europe,Netherlands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-07,Europe,Netherlands,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-08,Europe,Netherlands,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,0,0
NLD,2020-03-09,Europe,Netherlands,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,1,1G
NLD,2020-03-10,Europe,Netherlands,2.64,0,0,0,0,1.5,2T,0.5,1T,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,1,1G
NLD,2020-03-11,Europe,Netherlands,2.64,0,0,0,0,1.5,2T,0.5,1T,0,0,0,0,0,0,0,0,0,0,0,0,2,2G,1,1,2,2,0,0,0,0,1,1G
